filename,artist,genre
Amedeo_Modigliani_24.jpg,Amedeo Modigliani,Expressionism
Edgar_Degas_455.jpg,Edgar Degas,Impressionism
Edgar_Degas_333.jpg,Edgar Degas,Impressionism
Joan_Miro_48.jpg,Joan Miro,Surrealism
Edgar_Degas_47.jpg,Edgar Degas,Impressionism
Pierre-Auguste_Renoir_138.jpg,Pierre-Auguste Renoir,Impressionism
Salvador_Dali_65.jpg,Salvador Dali,Surrealism
Salvador_Dali_71.jpg,Salvador Dali,Surrealism
Edgar_Degas_327.jpg,Edgar Degas,Impressionism
Edgar_Degas_53.jpg,Edgar Degas,Impressionism
Edgar_Degas_441.jpg,Edgar Degas,Impressionism
Amedeo_Modigliani_30.jpg,Amedeo Modigliani,Expressionism
Amedeo_Modigliani_18.jpg,Amedeo Modigliani,Expressionism
Edgar_Degas_469.jpg,Edgar Degas,Impressionism
Pierre-Auguste_Renoir_104.jpg,Pierre-Auguste Renoir,Impressionism
Salvador_Dali_59.jpg,Salvador Dali,Surrealism
Joan_Miro_74.jpg,Joan Miro,Surrealism
Joan_Miro_60.jpg,Joan Miro,Surrealism
Pierre-Auguste_Renoir_110.jpg,Pierre-Auguste Renoir,Impressionism
Edgar_Degas_496.jpg,Edgar Degas,Impressionism
Alfred_Sisley_213.jpg,Alfred Sisley,Impressionism
Edgar_Degas_84.jpg,Edgar Degas,Impressionism
Edgar_Degas_90.jpg,Edgar Degas,Impressionism
Alfred_Sisley_207.jpg,Alfred Sisley,Impressionism
Edgar_Degas_482.jpg,Edgar Degas,Impressionism
Pablo_Picasso_7.jpg,Pablo Picasso,Cubism
Salvador_Dali_116.jpg,Salvador Dali,Surrealism
Salvador_Dali_102.jpg,Salvador Dali,Surrealism
Pablo_Picasso_232.jpg,Pablo Picasso,Cubism
Edgar_Degas_131.jpg,Edgar Degas,Impressionism
Edgar_Degas_657.jpg,Edgar Degas,Impressionism
Peter_Paul_Rubens_2.jpg,Peter Paul Rubens,Baroque
Rembrandt_133.jpg,Rembrandt,Baroque
Rembrandt_127.jpg,Rembrandt,Baroque
Edgar_Degas_643.jpg,Edgar Degas,Impressionism
Rembrandt_99.jpg,Rembrandt,Baroque
Edgar_Degas_125.jpg,Edgar Degas,Impressionism
Pablo_Picasso_226.jpg,Pablo Picasso,Cubism
Pierre-Auguste_Renoir_306.jpg,Pierre-Auguste Renoir,Impressionism
Alfred_Sisley_16.jpg,Alfred Sisley,Impressionism
Pierre-Auguste_Renoir_312.jpg,Pierre-Auguste Renoir,Impressionism
Salvador_Dali_2.jpg,Salvador Dali,Surrealism
Edgar_Degas_119.jpg,Edgar Degas,Impressionism
Edgar_Degas_694.jpg,Edgar Degas,Impressionism
Edgar_Degas_680.jpg,Edgar Degas,Impressionism
Rembrandt_72.jpg,Rembrandt,Baroque
Rembrandt_66.jpg,Rembrandt,Baroque
Peter_Paul_Rubens_42.jpg,Peter Paul Rubens,Baroque
Pablo_Picasso_346.jpg,Pablo Picasso,Cubism
Pablo_Picasso_420.jpg,Pablo Picasso,Cubism
Pablo_Picasso_87.jpg,Pablo Picasso,Cubism
